\begin{tabular}{llrrrrrrrr}
\toprule
group1 & group2 & meandiff_left & p-adj_left & lower_left & upper_left & meandiff_right & p-adj_right & lower_right & upper_right \\
\midrule
GMAC_G & GMAC_L & 0.0650000 & 0.9974999 & -0.1422752 & 0.2722752 & -0.0560000 & 0.9997944 & -0.2856827 & 0.1736827 \\
GMAC_G & RF_inter & 0.0010000 & 1.0000000 & -0.2062752 & 0.2082752 & 0.0090000 & 1.0000000 & -0.2206827 & 0.2386827 \\
GMAC_G & Scheme1_G & 0.0040000 & 1.0000000 & -0.2032752 & 0.2112752 & -0.0340000 & 0.9999991 & -0.2636827 & 0.1956827 \\
GMAC_G & Scheme1_L & 0.0060000 & 1.0000000 & -0.2012752 & 0.2132752 & -0.0340000 & 0.9999991 & -0.2636827 & 0.1956827 \\
GMAC_G & Scheme1b_G & 0.0380000 & 0.9999904 & -0.1692752 & 0.2452752 & 0.0280000 & 0.9999999 & -0.2016827 & 0.2576827 \\
GMAC_G & Scheme1b_L & 0.0270000 & 0.9999998 & -0.1802752 & 0.2342752 & 0.0780000 & 0.9947894 & -0.1516827 & 0.3076827 \\
GMAC_G & Scheme2_G & -0.2900000 & 0.0004435 & -0.4972752 & -0.0827248 & -0.3870000 & 0.0000069 & -0.6166827 & -0.1573173 \\
GMAC_G & Scheme2_L & -0.2530000 & 0.0044350 & -0.4602752 & -0.0457248 & -0.3420000 & 0.0001267 & -0.5716827 & -0.1123173 \\
GMAC_G & Scheme3a_G & -0.1420000 & 0.5094814 & -0.3492752 & 0.0652752 & -0.1650000 & 0.4310455 & -0.3946827 & 0.0646827 \\
GMAC_G & Scheme3a_L & -0.0090000 & 1.0000000 & -0.2162752 & 0.1982752 & -0.0620000 & 0.9994189 & -0.2916827 & 0.1676827 \\
GMAC_G & Scheme3b_G & -0.1370000 & 0.5677622 & -0.3442752 & 0.0702752 & -0.2680000 & 0.0083960 & -0.4976827 & -0.0383173 \\
GMAC_G & Scheme3b_L & -0.2090000 & 0.0460984 & -0.4162752 & -0.0017248 & -0.1570000 & 0.5131526 & -0.3866827 & 0.0726827 \\
GMAC_L & RF_inter & -0.0640000 & 0.9978405 & -0.2712752 & 0.1432752 & 0.0650000 & 0.9990704 & -0.1646827 & 0.2946827 \\
GMAC_L & Scheme1_G & -0.0610000 & 0.9986372 & -0.2682752 & 0.1462752 & 0.0220000 & 1.0000000 & -0.2076827 & 0.2516827 \\
GMAC_L & Scheme1_L & -0.0590000 & 0.9990158 & -0.2662752 & 0.1482752 & 0.0220000 & 1.0000000 & -0.2076827 & 0.2516827 \\
GMAC_L & Scheme1b_G & -0.0270000 & 0.9999998 & -0.2342752 & 0.1802752 & 0.0840000 & 0.9899886 & -0.1456827 & 0.3136827 \\
GMAC_L & Scheme1b_L & -0.0380000 & 0.9999904 & -0.2452752 & 0.1692752 & 0.1340000 & 0.7477030 & -0.0956827 & 0.3636827 \\
GMAC_L & Scheme2_G & -0.3550000 & 0.0000045 & -0.5622752 & -0.1477248 & -0.3310000 & 0.0002487 & -0.5606827 & -0.1013173 \\
GMAC_L & Scheme2_L & -0.3180000 & 0.0000661 & -0.5252752 & -0.1107248 & -0.2860000 & 0.0032820 & -0.5156827 & -0.0563173 \\
GMAC_L & Scheme3a_G & -0.2070000 & 0.0506483 & -0.4142752 & 0.0002752 & -0.1090000 & 0.9249001 & -0.3386827 & 0.1206827 \\
GMAC_L & Scheme3a_L & -0.0740000 & 0.9918766 & -0.2812752 & 0.1332752 & -0.0060000 & 1.0000000 & -0.2356827 & 0.2236827 \\
GMAC_L & Scheme3b_G & -0.2020000 & 0.0637503 & -0.4092752 & 0.0052752 & -0.2120000 & 0.1015267 & -0.4416827 & 0.0176827 \\
GMAC_L & Scheme3b_L & -0.2740000 & 0.0012399 & -0.4812752 & -0.0667248 & -0.1010000 & 0.9561936 & -0.3306827 & 0.1286827 \\
RF_inter & Scheme1_G & 0.0030000 & 1.0000000 & -0.2042752 & 0.2102752 & -0.0430000 & 0.9999879 & -0.2726827 & 0.1866827 \\
RF_inter & Scheme1_L & 0.0050000 & 1.0000000 & -0.2022752 & 0.2122752 & -0.0430000 & 0.9999879 & -0.2726827 & 0.1866827 \\
RF_inter & Scheme1b_G & 0.0370000 & 0.9999928 & -0.1702752 & 0.2442752 & 0.0190000 & 1.0000000 & -0.2106827 & 0.2486827 \\
RF_inter & Scheme1b_L & 0.0260000 & 0.9999999 & -0.1812752 & 0.2332752 & 0.0690000 & 0.9983379 & -0.1606827 & 0.2986827 \\
RF_inter & Scheme2_G & -0.2910000 & 0.0004153 & -0.4982752 & -0.0837248 & -0.3960000 & 0.0000038 & -0.6256827 & -0.1663173 \\
RF_inter & Scheme2_L & -0.2540000 & 0.0041825 & -0.4612752 & -0.0467248 & -0.3510000 & 0.0000721 & -0.5806827 & -0.1213173 \\
RF_inter & Scheme3a_G & -0.1430000 & 0.4979192 & -0.3502752 & 0.0642752 & -0.1740000 & 0.3450708 & -0.4036827 & 0.0556827 \\
RF_inter & Scheme3a_L & -0.0100000 & 1.0000000 & -0.2172752 & 0.1972752 & -0.0710000 & 0.9978169 & -0.3006827 & 0.1586827 \\
RF_inter & Scheme3b_G & -0.1380000 & 0.5560759 & -0.3452752 & 0.0692752 & -0.2770000 & 0.0052879 & -0.5066827 & -0.0473173 \\
RF_inter & Scheme3b_L & -0.2100000 & 0.0439597 & -0.4172752 & -0.0027248 & -0.1660000 & 0.4210951 & -0.3956827 & 0.0636827 \\
Scheme1_G & Scheme1_L & 0.0020000 & 1.0000000 & -0.2052752 & 0.2092752 & -0.0000000 & 1.0000000 & -0.2296827 & 0.2296827 \\
Scheme1_G & Scheme1b_G & 0.0340000 & 0.9999972 & -0.1732752 & 0.2412752 & 0.0620000 & 0.9994189 & -0.1676827 & 0.2916827 \\
Scheme1_G & Scheme1b_L & 0.0230000 & 1.0000000 & -0.1842752 & 0.2302752 & 0.1120000 & 0.9100245 & -0.1176827 & 0.3416827 \\
Scheme1_G & Scheme2_G & -0.2940000 & 0.0003405 & -0.5012752 & -0.0867248 & -0.3530000 & 0.0000636 & -0.5826827 & -0.1233173 \\
Scheme1_G & Scheme2_L & -0.2570000 & 0.0035035 & -0.4642752 & -0.0497248 & -0.3080000 & 0.0009660 & -0.5376827 & -0.0783173 \\
Scheme1_G & Scheme3a_G & -0.1460000 & 0.4635882 & -0.3532752 & 0.0612752 & -0.1310000 & 0.7748514 & -0.3606827 & 0.0986827 \\
Scheme1_G & Scheme3a_L & -0.0130000 & 1.0000000 & -0.2202752 & 0.1942752 & -0.0280000 & 0.9999999 & -0.2576827 & 0.2016827 \\
Scheme1_G & Scheme3b_G & -0.1410000 & 0.5210877 & -0.3482752 & 0.0662752 & -0.2340000 & 0.0415650 & -0.4636827 & -0.0043173 \\
Scheme1_G & Scheme3b_L & -0.2130000 & 0.0380544 & -0.4202752 & -0.0057248 & -0.1230000 & 0.8400980 & -0.3526827 & 0.1066827 \\
Scheme1_L & Scheme1b_G & 0.0320000 & 0.9999986 & -0.1752752 & 0.2392752 & 0.0620000 & 0.9994189 & -0.1676827 & 0.2916827 \\
Scheme1_L & Scheme1b_L & 0.0210000 & 1.0000000 & -0.1862752 & 0.2282752 & 0.1120000 & 0.9100245 & -0.1176827 & 0.3416827 \\
Scheme1_L & Scheme2_G & -0.2960000 & 0.0002981 & -0.5032752 & -0.0887248 & -0.3530000 & 0.0000636 & -0.5826827 & -0.1233173 \\
Scheme1_L & Scheme2_L & -0.2590000 & 0.0031100 & -0.4662752 & -0.0517248 & -0.3080000 & 0.0009660 & -0.5376827 & -0.0783173 \\
Scheme1_L & Scheme3a_G & -0.1480000 & 0.4410835 & -0.3552752 & 0.0592752 & -0.1310000 & 0.7748514 & -0.3606827 & 0.0986827 \\
Scheme1_L & Scheme3a_L & -0.0150000 & 1.0000000 & -0.2222752 & 0.1922752 & -0.0280000 & 0.9999999 & -0.2576827 & 0.2016827 \\
